GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US36047012200,36047012200,"Census Tract 122, Kings County, New York",40645,6525
1400000US36047012600,36047012600,"Census Tract 126, Kings County, New York",31042,7403
1400000US36047012700,36047012700,"Census Tract 127, Kings County, New York",32935,13284
1400000US36047012801,36047012801,"Census Tract 128.01, Kings County, New York",53472,16246
1400000US36047012901,36047012901,"Census Tract 129.01, Kings County, New York",83990,15200
1400000US36047012902,36047012902,"Census Tract 129.02, Kings County, New York",81838,42287
1400000US36047013000,36047013000,"Census Tract 130, Kings County, New York",48889,9389
1400000US36047013100,36047013100,"Census Tract 131, Kings County, New York",107813,18523
1400000US36047013200,36047013200,"Census Tract 132, Kings County, New York",39538,4165
1400000US36047013300,36047013300,"Census Tract 133, Kings County, New York",109737,16485
1400000US36047013400,36047013400,"Census Tract 134, Kings County, New York",66250,18583
1400000US36047013500,36047013500,"Census Tract 135, Kings County, New York",107381,9645
1400000US36047013600,36047013600,"Census Tract 136, Kings County, New York",64313,14222
1400000US36047013700,36047013700,"Census Tract 137, Kings County, New York",81222,19678
1400000US36047013800,36047013800,"Census Tract 138, Kings County, New York",51206,21353
1400000US36047013900,36047013900,"Census Tract 139, Kings County, New York",72759,15044
1400000US36047014000,36047014000,"Census Tract 140, Kings County, New York",49297,19014
1400000US36047014100,36047014100,"Census Tract 141, Kings County, New York",80174,19402
1400000US36047014200,36047014200,"Census Tract 142, Kings County, New York",43893,11027
1400000US36047014300,36047014300,"Census Tract 143, Kings County, New York",58424,12684
1400000US36047014500,36047014500,"Census Tract 145, Kings County, New York",60659,12003
1400000US36047014700,36047014700,"Census Tract 147, Kings County, New York",59510,21363
1400000US36047014800,36047014800,"Census Tract 148, Kings County, New York",85313,27935
1400000US36047014900,36047014900,"Census Tract 149, Kings County, New York",95346,19488
1400000US36047015000,36047015000,"Census Tract 150, Kings County, New York",87857,15312
1400000US36047015100,36047015100,"Census Tract 151, Kings County, New York",117305,14675
1400000US36047015200,36047015200,"Census Tract 152, Kings County, New York",60391,12865
1400000US36047015300,36047015300,"Census Tract 153, Kings County, New York",122344,37771
1400000US36047015400,36047015400,"Census Tract 154, Kings County, New York",-,**
1400000US36047015500,36047015500,"Census Tract 155, Kings County, New York",107393,8630
1400000US36047015700,36047015700,"Census Tract 157, Kings County, New York",116905,18406
1400000US36047015900,36047015900,"Census Tract 159, Kings County, New York",112734,20564
1400000US36047016000,36047016000,"Census Tract 160, Kings County, New York",59303,12552
1400000US36047016100,36047016100,"Census Tract 161, Kings County, New York",102448,11555
1400000US36047016200,36047016200,"Census Tract 162, Kings County, New York",75750,22546
1400000US36047016300,36047016300,"Census Tract 163, Kings County, New York",73381,10400
1400000US36047016400,36047016400,"Census Tract 164, Kings County, New York",84792,31379
1400000US36047016500,36047016500,"Census Tract 165, Kings County, New York",123312,15863
1400000US36047016600,36047016600,"Census Tract 166, Kings County, New York",80156,28076
1400000US36047016700,36047016700,"Census Tract 167, Kings County, New York",108169,18884
1400000US36047016800,36047016800,"Census Tract 168, Kings County, New York",81635,11691
1400000US36047016900,36047016900,"Census Tract 169, Kings County, New York",67188,20763
1400000US36047017000,36047017000,"Census Tract 170, Kings County, New York",63750,12936
1400000US36047017100,36047017100,"Census Tract 171, Kings County, New York",105680,11519
1400000US36047017200,36047017200,"Census Tract 172, Kings County, New York",85610,47388
1400000US36047017400,36047017400,"Census Tract 174, Kings County, New York",52054,34817
1400000US36047017500,36047017500,"Census Tract 175, Kings County, New York",-,**
1400000US36047017600,36047017600,"Census Tract 176, Kings County, New York",34965,13943
1400000US36047017700,36047017700,"Census Tract 177, Kings County, New York",-,**
1400000US36047017800,36047017800,"Census Tract 178, Kings County, New York",53240,5426
1400000US36047017900,36047017900,"Census Tract 179, Kings County, New York",60357,15896
1400000US36047018000,36047018000,"Census Tract 180, Kings County, New York",39911,16105
1400000US36047018100,36047018100,"Census Tract 181, Kings County, New York",80769,6002
1400000US36047018200,36047018200,"Census Tract 182, Kings County, New York",36051,4894
1400000US36047018300,36047018300,"Census Tract 183, Kings County, New York",102669,26146
1400000US36047018400,36047018400,"Census Tract 184, Kings County, New York",52600,17740
1400000US36047018501,36047018501,"Census Tract 185.01, Kings County, New York",19828,3908
1400000US36047018600,36047018600,"Census Tract 186, Kings County, New York",58750,11527
1400000US36047018700,36047018700,"Census Tract 187, Kings County, New York",81065,33516
1400000US36047018800,36047018800,"Census Tract 188, Kings County, New York",70815,18988
1400000US36047019000,36047019000,"Census Tract 190, Kings County, New York",38727,4309
1400000US36047019100,36047019100,"Census Tract 191, Kings County, New York",49875,20850
1400000US36047019200,36047019200,"Census Tract 192, Kings County, New York",35915,4979
1400000US36047019300,36047019300,"Census Tract 193, Kings County, New York",51044,7786
1400000US36047019400,36047019400,"Census Tract 194, Kings County, New York",36979,7233
1400000US36047019500,36047019500,"Census Tract 195, Kings County, New York",63333,10339
1400000US36047019600,36047019600,"Census Tract 196, Kings County, New York",42340,7551
1400000US36047019700,36047019700,"Census Tract 197, Kings County, New York",77500,15644
1400000US36047019800,36047019800,"Census Tract 198, Kings County, New York",58661,29428
1400000US36047019900,36047019900,"Census Tract 199, Kings County, New York",64766,12665
1400000US36047020000,36047020000,"Census Tract 200, Kings County, New York",64250,15331
1400000US36047020100,36047020100,"Census Tract 201, Kings County, New York",76201,7125
1400000US36047020200,36047020200,"Census Tract 202, Kings County, New York",66000,20628
1400000US36047020300,36047020300,"Census Tract 203, Kings County, New York",87422,21987
1400000US36047020400,36047020400,"Census Tract 204, Kings County, New York",66705,13867
1400000US36047020500,36047020500,"Census Tract 205, Kings County, New York",76875,19738
1400000US36047020600,36047020600,"Census Tract 206, Kings County, New York",75694,30752
1400000US36047020700,36047020700,"Census Tract 207, Kings County, New York",95980,10532
1400000US36047020800,36047020800,"Census Tract 208, Kings County, New York",52863,9924
1400000US36047021000,36047021000,"Census Tract 210, Kings County, New York",56447,10809
1400000US36047021100,36047021100,"Census Tract 211, Kings County, New York",40833,18703
1400000US36047021200,36047021200,"Census Tract 212, Kings County, New York",40665,13727
1400000US36047021300,36047021300,"Census Tract 213, Kings County, New York",48088,9734
1400000US36047021400,36047021400,"Census Tract 214, Kings County, New York",41250,16023
1400000US36047021500,36047021500,"Census Tract 215, Kings County, New York",57607,9697
1400000US36047021600,36047021600,"Census Tract 216, Kings County, New York",33177,9012
1400000US36047021700,36047021700,"Census Tract 217, Kings County, New York",40786,12270
1400000US36047021800,36047021800,"Census Tract 218, Kings County, New York",32696,3815
1400000US36047021900,36047021900,"Census Tract 219, Kings County, New York",36269,6671
1400000US36047022000,36047022000,"Census Tract 220, Kings County, New York",30042,4335
1400000US36047022100,36047022100,"Census Tract 221, Kings County, New York",45781,10155
1400000US36047022200,36047022200,"Census Tract 222, Kings County, New York",30986,5294
1400000US36047022400,36047022400,"Census Tract 224, Kings County, New York",35539,5854
1400000US36047022600,36047022600,"Census Tract 226, Kings County, New York",66733,16041
1400000US36047022700,36047022700,"Census Tract 227, Kings County, New York",42166,3591
1400000US36047022800,36047022800,"Census Tract 228, Kings County, New York",41250,20812
1400000US36047022900,36047022900,"Census Tract 229, Kings County, New York",57650,12358
1400000US36047023000,36047023000,"Census Tract 230, Kings County, New York",24813,6222
1400000US36047023100,36047023100,"Census Tract 231, Kings County, New York",72411,18007
1400000US36047023200,36047023200,"Census Tract 232, Kings County, New York",27440,4305
1400000US36047023300,36047023300,"Census Tract 233, Kings County, New York",40814,8661
1400000US36047023400,36047023400,"Census Tract 234, Kings County, New York",32390,8071
1400000US36047023500,36047023500,"Census Tract 235, Kings County, New York",46250,16491
1400000US36047023600,36047023600,"Census Tract 236, Kings County, New York",30807,3179
1400000US36047023800,36047023800,"Census Tract 238, Kings County, New York",35104,11018
1400000US36047024000,36047024000,"Census Tract 240, Kings County, New York",38250,12495
1400000US36047024100,36047024100,"Census Tract 241, Kings County, New York",37000,26287
1400000US36047024200,36047024200,"Census Tract 242, Kings County, New York",40795,11588
1400000US36047024300,36047024300,"Census Tract 243, Kings County, New York",41908,21251
1400000US36047024400,36047024400,"Census Tract 244, Kings County, New York",34838,11650
1400000US36047024500,36047024500,"Census Tract 245, Kings County, New York",48880,7123
1400000US36047024600,36047024600,"Census Tract 246, Kings County, New York",50938,8192
1400000US36047024700,36047024700,"Census Tract 247, Kings County, New York",43629,7761
1400000US36047024800,36047024800,"Census Tract 248, Kings County, New York",48598,17920
1400000US36047024900,36047024900,"Census Tract 249, Kings County, New York",50547,13033
1400000US36047025000,36047025000,"Census Tract 250, Kings County, New York",37857,8432
1400000US36047025100,36047025100,"Census Tract 251, Kings County, New York",33983,9967
1400000US36047025200,36047025200,"Census Tract 252, Kings County, New York",42195,9674
1400000US36047025300,36047025300,"Census Tract 253, Kings County, New York",46298,8085
1400000US36047025400,36047025400,"Census Tract 254, Kings County, New York",48159,9231
1400000US36047025500,36047025500,"Census Tract 255, Kings County, New York",27328,4837
1400000US36047025600,36047025600,"Census Tract 256, Kings County, New York",35582,5488
1400000US36047025700,36047025700,"Census Tract 257, Kings County, New York",42614,15909
1400000US36047025800,36047025800,"Census Tract 258, Kings County, New York",45792,5886
1400000US36047025901,36047025901,"Census Tract 259.01, Kings County, New York",25710,8771
1400000US36047025902,36047025902,"Census Tract 259.02, Kings County, New York",20500,4655
1400000US36047026000,36047026000,"Census Tract 260, Kings County, New York",43594,13719
1400000US36047026100,36047026100,"Census Tract 261, Kings County, New York",32115,15425
1400000US36047026200,36047026200,"Census Tract 262, Kings County, New York",60756,17368
1400000US36047026300,36047026300,"Census Tract 263, Kings County, New York",36822,4016
1400000US36047026400,36047026400,"Census Tract 264, Kings County, New York",46304,5346
1400000US36047026500,36047026500,"Census Tract 265, Kings County, New York",44244,16608
1400000US36047026600,36047026600,"Census Tract 266, Kings County, New York",61513,16651
1400000US36047026700,36047026700,"Census Tract 267, Kings County, New York",52253,12260
1400000US36047026800,36047026800,"Census Tract 268, Kings County, New York",41894,6167
1400000US36047026900,36047026900,"Census Tract 269, Kings County, New York",33862,8876
1400000US36047027000,36047027000,"Census Tract 270, Kings County, New York",30391,20604
1400000US36047027100,36047027100,"Census Tract 271, Kings County, New York",41644,4498
1400000US36047027200,36047027200,"Census Tract 272, Kings County, New York",45217,8060
1400000US36047027300,36047027300,"Census Tract 273, Kings County, New York",30118,12442
1400000US36047027400,36047027400,"Census Tract 274, Kings County, New York",37284,7641
1400000US36047027500,36047027500,"Census Tract 275, Kings County, New York",60449,16239
1400000US36047027600,36047027600,"Census Tract 276, Kings County, New York",35055,3376
1400000US36047027700,36047027700,"Census Tract 277, Kings County, New York",34375,12204
1400000US36047027800,36047027800,"Census Tract 278, Kings County, New York",37536,14229
1400000US36047027900,36047027900,"Census Tract 279, Kings County, New York",44779,18560
1400000US36047028000,36047028000,"Census Tract 280, Kings County, New York",66897,12196
1400000US36047028100,36047028100,"Census Tract 281, Kings County, New York",24932,14524
1400000US36047028200,36047028200,"Census Tract 282, Kings County, New York",35966,5264
1400000US36047028300,36047028300,"Census Tract 283, Kings County, New York",18819,9956
1400000US36047028400,36047028400,"Census Tract 284, Kings County, New York",39295,3814
